week,Predicted Values,actual Values
2022-07-14,12897.278,13131
2022-07-21,12901.469,13459
2022-07-28,12901.042,13677
2022-08-04,12900.262,13466
2022-08-11,12756.902,13628
2022-08-18,12694.337,13249
2022-08-25,12432.729,13124
2022-09-01,12094.434,13104
2022-09-08,11990.734,13447
2022-09-15,11097.448,13363
2022-09-22,10571.699,13619
2022-09-29,10998.851,13554
2022-10-06,10557.67,13465
2022-10-13,10904.866,13481
2022-10-20,11088.749,13461
2022-10-27,11565.357,13598
2022-11-03,12889.108,13043
2022-11-10,12716.73,11546
2022-11-17,12767.141,11213
2022-11-24,12895.131,11430
2022-12-01,12901.772,12019
2022-12-08,12898.133,12171
2022-12-15,12807.278,12169
2022-12-22,12616.613,12327
2022-12-29,12513.585,12676
2023-01-05,10883.888,12816
2023-01-12,10904.567,12713
2023-01-19,10903.465,12296
2023-01-26,10833.781,12818
2023-02-02,10658.1045,12937
2023-02-09,10244.782,13143
2023-02-16,9884.014,13238
2023-02-23,10247.247,13150
2023-03-02,9758.935,12378
2023-03-09,10009.137,12424
2023-03-16,10265.96,12275
2023-03-23,10053.945,12608
2023-03-30,9844.661,12589
2023-04-06,10094.923,12054
2023-04-13,9550.993,12303
2023-04-20,9348.113,12294
2023-04-27,9819.475,11876
2023-05-04,9232.464,11471
2023-05-11,9647.439,11340
2023-05-18,9705.022,11165
2023-05-25,10057.67,10806
2023-06-01,10387.91,10327
2023-06-08,10550.989,10472
2023-06-15,10008.334,10220
2023-06-22,9870.042,10433
2023-06-29,10208.585,9276
2023-07-06,10648.319,9072
2023-07-13,10405.666,10153
2023-07-20,10593.979,9964
2023-07-27,10093.386,10312
2023-08-03,9528.843,10047
2023-08-10,9313.687,9379
2023-08-17,9685.412,9762
2023-08-24,9817.742,10022
2023-08-31,9417.162,8355
2023-09-07,9572.079,8541
2023-09-14,9439.695,8508
2023-09-21,8976.338,8529
2023-10-04,9176.556,9746
2023-10-05,8978.98,9930
2023-10-12,9061.161,10069
2023-10-19,8907.222,9979
2023-10-26,10011.939,9664
2023-11-02,9840.156,8870
2023-11-09,10271.338,7758
2023-11-16,10114.621,8082
2023-11-23,10287.696,7885
2023-11-30,9842.304,9284
2023-12-07,10162.88,9738
2023-12-14,10220.266,9808
2023-12-21,10270.472,9778
2023-12-28,9890.13,10229
2024-01-04,10147.595,9325
2024-01-11,9692.976,9949
2024-01-18,9618.585,9871
2024-01-25,9593.975,10158
2024-02-01,9777.651,9440
2024-02-08,9749.092,9652
2024-02-15,9780.448,9894
2024-02-22,9767.144,10329
2024-02-29,10089.878,9626
2024-03-07,9764.57,10235
2024-03-14,9453.238,9715
2024-03-21,9411.232,9755
2024-03-28,9261.247,9455
2024-04-04,8466.995,8753
2024-04-11,8621.471,8978
2024-04-18,8560.698,9066
2024-04-25,9163.277,9853
2024-05-02,8752.833,9328
2024-05-09,9239.002,9263
2024-05-16,8856.546,9312
2024-05-23,8409.404,8992
2024-05-30,8492.656,9938
2024-06-06,8404.761,10119
2024-06-13,8253.781,10330
2024-06-20,8436.934,10422
2024-06-27,8556.692,10337
2024-07-04,8639.376,10469
2024-07-11,8201.391,9601
2024-07-18,8350.07,9565
2024-07-25,9109.961,10203
2024-08-01,8904.615,10089
2024-08-08,9308.074,9587
2024-08-15,9929.041,10006
2024-08-22,9623.198,10449
2024-08-29,9606.176,10126
