week,actual values,Predicted_values
2022-07-14,2453,2476.268
2022-07-21,2930,2475.0432
2022-07-28,3199,2488.824
2022-08-04,3008,2857.3176
2022-08-11,3120,2845.6936
2022-08-18,3206,2832.359
2022-08-25,3149,2793.7039
2022-09-01,3506,3082.4277
2022-09-08,3578,3084.5603
2022-09-15,3319,3092.0422
2022-09-22,3303,3018.1274
2022-09-29,3528,3039.0625
2022-10-06,3753,3210.4104
2022-10-13,3623,3216.4587
2022-10-20,3410,3187.4434
2022-10-27,3277,3195.4033
2022-11-03,2962,3151.678
2022-11-10,2556,3135.1853
2022-11-17,2442,3142.7961
2022-11-24,2267,3159.8782
2022-12-01,2063,2086.2756
2022-12-08,2083,2050.1252
2022-12-15,1909,2201.218
2022-12-22,1895,2227.0378
2022-12-29,1919,2149.3816
2023-01-05,1862,1667.2164
2023-01-12,1818,1640.4023
2023-01-19,1801,1774.2991
2023-01-26,1813,1737.2181
2023-02-02,1959,1762.0839
2023-02-09,2047,1686.1056
2023-02-16,2066,1704.1322
2023-02-23,2006,1657.9558
2023-03-02,1905,1887.1027
2023-03-09,1982,1855.3677
2023-03-16,1853,1855.6595
2023-03-23,1935,1849.8182
2023-03-30,1923,1868.8964
2023-04-06,1952,2058.2637
2023-04-13,1971,2063.0137
2023-04-20,2026,2064.9094
2023-04-27,2115,2072.2117
2023-05-04,2174,2238.5828
2023-05-11,2251,2258.0635
2023-05-18,2403,2255.3916
2023-05-25,2318,2267.8364
2023-06-01,2018,2422.3184
2023-06-08,1869,2428.674
2023-06-15,1796,2436.7222
2023-06-22,1903,2441.3958
2023-06-29,2005,2448.782
2023-07-06,1927,2416.6467
2023-07-13,1904,2413.5117
2023-07-20,2079,2420.2441
2023-07-27,2297,2433.2078
2023-08-03,2664,2476.5786
2023-08-10,2925,2458.4004
2023-08-17,2838,2465.9749
2023-08-24,2604,2453.3347
2023-08-31,2589,2452.1973
2023-09-07,2422,2859.0957
2023-09-14,2259,2855.584
2023-09-21,2349,2827.4558
2023-10-04,2567,2791.1882
2023-10-05,2556,2762.4758
2023-10-12,2441,2747.3108
2023-10-19,2271,2717.648
2023-10-26,2105,2734.003
2023-11-02,1692,1864.3212
2023-11-09,1472,1967.1631
2023-11-16,1450,1969.921
2023-11-23,1402,1991.61
2023-11-30,1506,2055.8171
2023-12-07,2908,1824.905
2023-12-14,2899,2112.8616
2023-12-21,2886,2202.8044
2023-12-28,2874,2028.3049
2024-01-04,2845,2216.3472
2024-01-11,2842,2207.6357
2024-01-18,2844,2224.0176
2024-01-25,2823,2224.4321
2024-02-01,2811,2421.4148
2024-02-08,2820,2413.4949
2024-02-15,2780,2383.8535
2024-02-22,2775,2423.706
2024-02-29,2731,2417.2473
2024-03-07,2737,2595.3293
2024-03-14,2696,2569.052
2024-03-21,2527,2561.7454
2024-03-28,2457,2571.5066
2024-04-04,2513,2649.2783
2024-04-11,2512,2691.79
2024-04-18,2571,2679.4192
2024-04-25,2637,2699.0225
2024-05-02,2683,2696.54
2024-05-09,2697,2705.8657
2024-05-16,2689,2724.2244
2024-05-23,2711,2734.935
2024-05-30,2708,2736.6409
2024-06-06,2695,2750.5286
2024-06-13,2683,2773.1484
2024-06-20,2682,2764.2346
2024-06-27,2678,2770.23
2024-07-04,2678,2806.2893
2024-07-11,2651,2800.156
2024-07-18,2656,2822.3557
2024-07-25,2615,2837.7034
2024-08-01,2572,2656.84
2024-08-08,2597,2649.4666
2024-08-15,2594,2648.412
2024-08-22,2592,2639.5166
2024-08-29,2582,2624.918
